"时间","总充值金额","活跃用户","付费用户数"
"2023-03-01","0","19981","26"
"2023-03-02","593","19149","30"
"2023-03-03","0","27441","32"
"2023-03-04","0","49900","62"
"2023-03-05","0","42961","56"
"2023-03-06","782","17840","237"
"2023-03-07","1240","18981","222"
"2023-03-08","537","21042","187"
"2023-03-09","2533","18361","148"
"2023-03-10","1106","25517","169"
"2023-03-11","2077","44913","392"
"2023-03-12","2081","40878","303"
"2023-03-13","993","20771","25"
"2023-03-14","413","25193","28"
"2023-03-15","180","22221","24"
"2023-03-16","448","22059","27"
"2023-03-17","962","29363","49"
"2023-03-18","1311","47046","54"
"2023-03-19","1635","42120","66"
"2023-03-20","872","18674","21"
"2023-03-21","935","23981","22"
"2023-03-22","3520","28834","337"
"2023-03-23","1423","32710","265"
"2023-03-24","4042","67901","477"
"2023-03-25","3928","100962","753"
"2023-03-26","5957","109623","700"
"2023-03-27","2376","69336","361"
"2023-03-28","2382","65815","385"
"2023-03-29","3141","68919","388"
"2023-03-30","3022","68552","341"
"2023-03-31","2697","87737","393"
"2023-04-01","4983","120311","663"
"2023-04-02","5241","120313","643"
"2023-04-03","3304","68722","308"
"2023-04-04","2380","81136","372"
"2023-04-05","7224","120678","633"
"2023-04-06","2047","65575","280"
"2023-04-07","4738","91433","415"
"2023-04-08","11780","130196","724"
"2023-04-09","6160","112090","576"
"2023-04-10","1458","62785","314"
"2023-04-11","2188","63468","295"
"2023-04-12","2489","62031","304"
"2023-04-13","2594","59644","734"
"2023-04-14","5888","87357","680"
"2023-04-15","7910","127444","850"
"2023-04-16","6976","108913","607"
"2023-04-17","2752","56825","291"
"2023-04-18","470","17627","80"
"阶段汇总","2689.14","58272.02","313.24"
